Heart_Rate,SpO2,Stress_Level,Sleep_Hours,Steps,Anomaly
82,99,5,7.1502345761727835,14479,0
72,98,10,5.290898661875293,14058,1
84,97,2,5.7907228664755355,6622,0
97,95,7,4.5733544383886,9052,0
71,98,2,6.301869491721285,2378,0
71,97,1,6.765132189953074,2248,0
98,98,2,2.472817929323762,12927,0
86,98,10,6.889360342220331,6650,1
67,99,5,6.431449653354831,13433,0
83,95,1,5.352512076865809,7079,0
68,99,7,9.54294338640481,10456,0
68,97,0,7.9377147914071315,11099,0
78,101,6,4.855396270772898,8036,0
46,95,1,7.75735531935671,7487,0
49,100,9,8.366747114031586,2058,1
66,97,5,6.6980313839263355,11941,0
59,95,1,7.042163055420988,3048,0
79,96,1,7.007520000382386,7115,0
61,96,9,3.3712762116150667,5248,1
53,97,7,6.219695604724401,3476,0
96,98,1,6.141630737023957,13208,0
71,95,6,8.645233454839818,5603,0
76,96,2,7.000591795342809,12389,0
53,101,7,6.053583556824957,13778,0
66,100,6,6.364812888513483,4553,0
76,97,7,8.035078372441102,13632,0
57,97,6,6.2231230051320265,10953,0
80,97,10,5.452706700362587,1220,1
65,98,5,6.0864467106187,5818,0
70,94,6,7.911044215734023,8192,0
65,96,4,7.244247358396905,5623,0
102,93,6,6.566401960023671,8349,0
74,97,0,6.787308949167246,6618,0
59,98,0,5.660386289606777,12080,0
87,96,8,6.209075899336019,10856,0
56,100,4,5.505043517338224,8209,0
78,94,4,6.057831073550385,13178,0
45,94,2,8.519267395439938,5576,0
55,97,4,4.883192282934215,12169,0
77,99,2,5.466923500365628,2871,0
86,100,8,4.6185517055963725,8915,0
77,96,8,4.293636864218603,2462,0
73,99,5,6.219842128707063,6521,0
70,96,0,5.57358622729882,9536,0
52,96,6,9.142533396188288,9236,0
64,98,6,6.07573018073331,8813,0
68,98,9,8.434095295145037,3068,1
90,93,9,7.95200971241095,6753,1
80,99,3,6.186568767163979,8237,0
48,99,7,9.665203373128435,8016,0
79,95,5,6.902800979697213,7191,0
69,97,3,8.769513899005982,2514,0
64,97,3,8.594895337371895,3598,0
84,97,1,7.121971977657174,2001,0
90,95,1,7.626696271708775,2033,0
88,95,3,7.436107122679213,11232,0
62,96,4,4.7836078529124375,7899,0
70,99,7,6.5859355316795245,9465,0
79,98,5,8.111370850916991,6051,0
89,96,3,8.789279476042493,11839,0
67,98,10,5.419040492252075,10971,1
72,91,6,7.29324695271953,5476,1
58,99,7,6.726305319916301,14640,0
57,93,1,6.3231889031276065,1478,0
87,96,6,7.034003943837539,1515,0
95,94,1,6.826996115999206,13478,0
73,94,1,7.312111353308882,2191,0
90,99,7,8.662575141425078,11860,0
80,96,1,7.676191386297051,14448,0
65,97,10,6.965886888309054,7297,1
80,96,8,9.296937585234618,10603,0
98,97,0,8.164894393820504,12472,0
74,97,8,6.361402342094977,1271,0
98,94,0,4.674319396470642,9334,0
35,98,9,5.018253978619302,8778,1
87,96,9,7.899848672473452,7008,1
76,93,1,5.5545312811205285,8987,0
70,96,5,4.987916784332078,14380,0
76,100,5,5.362872009969201,4332,0
45,98,0,5.46892353186395,1787,0
71,96,6,7.775971501673377,7222,0
80,96,7,6.264886886326586,10873,0
97,96,1,4.441438099550892,1622,0
67,101,7,6.546567346643535,4841,0
62,97,8,6.833399198672363,4676,0
67,97,5,5.7809947078387225,3572,0
88,99,4,8.23382762628905,7915,0
79,97,8,5.868591671461573,6033,0
67,96,10,8.162506529955726,8788,1
82,96,8,7.395174169512464,12452,0
76,96,0,7.88990826206661,6214,0
89,96,10,4.852173738790407,5712,1
64,98,2,6.647465288357154,14319,0
70,97,8,6.420757993137847,1066,0
69,98,10,4.366990212638701,13478,1
53,96,1,8.157591094704363,8533,0
79,97,3,5.273898654638975,5616,0
78,93,3,5.585648256746026,14277,0
75,98,1,4.980026246603411,2140,0
71,97,2,7.551779489105559,11506,0
53,98,2,4.211105421841106,6730,0
68,91,0,7.426812200696852,11724,1
69,101,5,8.066770979365192,12772,0
62,96,7,7.30576764143864,8465,0
72,99,2,7.568942725769643,10379,0
81,94,4,7.639319704367065,5471,0
103,98,0,5.075863509911354,13940,0
77,94,9,8.652102469496516,4339,1
78,95,6,5.809885618799752,1548,0
73,100,9,6.400418573615042,14385,1
46,96,0,6.001044022473561,8675,0
74,97,10,7.2373131813159635,13279,1
75,98,8,5.692944135293867,9264,0
111,97,7,6.600373586356053,1198,0
72,97,6,4.646984274280992,12393,0
79,97,9,8.246997812752358,10973,1
74,101,6,7.506111418925305,1571,0
57,96,4,6.061610357147345,1790,0
92,97,4,5.796276454961284,10830,0
86,99,10,7.466942369476545,11023,1
86,99,4,5.439059929046057,11047,0
61,99,0,6.688047973647754,14798,0
96,98,7,8.242098181147108,2174,0
53,94,10,5.283114321294211,12932,1
83,100,0,7.052901243680305,12469,0
107,94,3,6.973587900403238,1178,0
60,97,8,6.353994772005976,3244,0
66,95,8,5.744315623844095,5086,0
76,96,4,8.322195585341579,1734,0
67,97,3,5.6036470463495505,7232,0
51,97,2,3.78194164830557,1798,0
76,97,2,7.46080038744655,8601,0
59,100,4,4.698044975348249,9979,0
82,97,9,7.537821717282631,3795,1
61,96,0,8.502354871765167,13496,0
98,98,4,7.444624817598012,5588,0
63,99,5,8.107116952831237,8297,0
70,94,6,9.530073660394471,4084,0
87,98,8,7.95014069391342,14945,0
56,98,2,6.995860088938153,12110,0
78,96,1,8.950922275285471,1731,0
94,99,2,9.132163317269878,2129,0
50,96,8,9.15315767488913,12638,0
77,97,6,5.761784727205996,2605,0
78,96,8,4.468972462252394,12970,0
86,97,1,5.67021172484767,11937,0
56,94,4,7.555462423689763,12362,0
55,94,3,6.738738417998158,13881,0
82,100,1,6.190278522234729,3933,0
79,95,8,7.340722098207403,10407,0
78,95,8,4.2937923774900995,9516,0
80,92,5,6.711753948037312,6074,0
64,95,10,8.177686467271815,11042,1
78,94,5,7.323973466837343,8099,0
79,100,7,7.537714732750593,2490,0
64,99,5,8.896059184928772,1893,0
102,95,0,6.4007850726895,2390,0
82,101,3,5.520362507974496,4389,0
57,98,6,8.284272563997563,5239,0
84,96,1,8.25668094655089,5479,0
60,92,8,7.337437512133695,3263,0
86,101,7,6.259443499126328,4432,0
92,94,7,6.502069476511978,3371,0
62,93,6,4.58484057180337,12278,0
89,99,3,8.169419795310805,5312,0
81,101,1,8.116476964293716,2515,0
87,99,2,4.532475874299824,7326,0
103,98,5,7.801448125859204,8088,0
71,98,4,7.1061524825135125,6586,0
63,98,7,4.967038834413806,3917,0
61,98,5,4.690999698391296,6731,0
62,97,5,7.060239904102584,8686,0
73,97,0,5.903443829139623,11544,0
80,96,3,9.229923275824506,2167,0
79,95,4,7.928897591973359,9302,0
87,96,10,7.210539705098341,6109,1
75,93,2,7.284618506003591,5327,0
96,96,8,8.496300770550752,6810,0
71,95,0,7.7697771375910065,4655,0
115,94,5,7.249649657744033,4793,0
84,97,5,5.029608235553735,10947,0
62,99,9,11.092920448109329,7738,1
58,98,4,4.84522586403765,2577,0
82,93,4,6.031185894349753,10488,0
71,95,9,4.017907585385004,12966,1
85,98,4,7.308197238153893,3220,0
82,95,5,6.726665655927211,10164,0
73,96,7,7.64791465754714,2030,0
62,98,1,3.891401553343349,11785,0
52,95,5,8.169358501071397,7691,0
68,97,0,5.288846897795578,4992,0
87,94,3,6.276492200954202,13805,0
78,95,9,7.897356903021597,1913,1
56,97,2,6.891900026197849,7358,0
77,93,8,6.997913835000296,3181,0
80,97,2,7.698768229858099,4197,0
61,96,5,7.143185959908086,7040,0
77,98,0,5.988338146176924,2462,0
75,97,5,6.250296307647156,11570,0
57,99,3,6.817818017977734,12646,0
80,97,7,5.156665859680498,8037,0
83,96,10,7.9940129890830045,12745,1
91,97,8,6.932980896211226,10499,0
90,98,3,6.612164401882953,5994,0
54,97,9,8.288744838547206,14386,1
60,97,9,6.319829535182945,10381,1
82,95,5,6.226368504271375,6308,0
82,95,0,5.773056853994054,7221,0
82,94,3,7.014600513388903,8090,0
132,100,6,6.9626751624972725,8769,1
83,94,0,5.50057369923514,1687,0
92,95,7,6.2334590343299,5661,0
89,95,9,5.51059659722115,10399,1
84,98,10,5.442697319276764,2894,1
70,96,5,3.9051532524097294,8389,0
86,99,4,6.153634619477667,5922,0
63,95,9,3.946680100879983,14639,1
71,97,10,5.805776470490733,7322,1
67,95,8,5.580958031183587,11003,0
76,101,1,8.077842585898406,4183,0
109,94,4,4.977597790535537,4797,0
46,97,5,5.358220422778286,6178,0
85,98,6,5.927713791212641,14638,0
50,97,4,5.629784522745836,10836,0
67,96,8,8.553882196132815,4968,0
91,96,0,4.792148940425571,3716,0
75,97,6,5.930893251521237,1190,0
58,96,9,6.99809787374661,14511,1
64,98,6,7.82177501456301,2335,0
85,101,3,5.9296376661046954,9181,0
64,95,8,3.622850599244311,13995,0
78,94,10,6.2748436676217425,12298,1
75,96,4,8.528042714271072,1378,0
65,102,3,6.9232811111456405,13674,0
107,95,6,6.854626793539899,4829,0
84,100,3,4.905473012634506,7380,0
44,100,2,4.7514926145670024,1615,0
77,95,8,6.527062472951148,14830,0
65,98,10,4.3604316165778885,3330,1
87,100,7,7.672043333543765,2754,0
63,96,0,5.230030626700456,1463,0
73,96,6,6.463014078902759,10158,0
82,95,8,3.671349621868637,5267,0
87,94,7,5.90929719733474,4158,0
56,95,7,4.7212091793046955,4624,0
69,94,5,3.0170653739872844,14434,0
67,97,10,7.312763134004476,5938,1
65,95,3,8.96173930863736,6417,0
101,97,7,8.19421038401592,7004,0
81,93,2,7.522536034855707,9881,0
56,97,8,5.878818248081681,11814,0
88,98,1,7.7088353428217395,6603,0
106,93,1,8.335779797860592,3212,0
90,97,6,6.70523274450694,7120,0
52,99,9,4.723459741531966,6818,1
67,94,3,5.750923552112943,1382,0
94,100,9,9.054044732521906,3256,1
64,97,7,6.38788374777475,13002,0
81,95,8,1.5128664201333555,12695,0
86,96,6,4.29661480449471,2412,0
61,98,4,5.8633269452862775,10775,0
74,97,7,8.053737857626352,7146,0
26,98,3,6.090316471389632,1371,0
59,95,1,8.081647482459891,6806,0
71,97,10,5.710756469678766,6565,1
56,94,5,3.5535612166465804,9802,0
99,96,8,5.762658262102873,9307,0
53,95,0,7.017417502319428,8437,0
68,95,10,6.89292552401197,1446,1
76,99,9,4.617338376115047,2391,1
96,99,6,5.973205697294352,12516,0
53,98,9,10.52701135709611,2340,1
92,94,8,4.6500967605546855,13702,0
75,96,9,7.4910850916956235,3939,1
60,99,8,3.3549864521453063,14335,0
81,97,9,7.795687736854493,12891,1
77,101,10,5.16151191471733,6969,1
65,97,2,7.10313238730441,10265,0
76,97,10,4.562711597347699,5813,1
69,96,4,6.93627920026506,4569,0
76,97,7,5.137024556387843,6454,0
84,96,7,5.4274277255500625,4150,0
98,98,3,7.162979009592546,10797,0
56,98,10,5.854421785404476,7414,1
106,95,10,7.070572172324467,5657,1
45,94,0,6.213738022034974,7947,0
72,93,0,6.6012405218709125,11486,0
83,98,3,7.167629707030103,8943,0
79,94,5,5.974972318113289,4662,0
65,92,7,5.0059253209973384,5482,0
71,97,5,5.701531601105315,5797,0
67,101,8,8.292708769750154,6068,0
66,96,8,6.674259626114824,6480,0
87,98,1,5.23265231988429,9033,0
80,97,9,7.102340912581578,1983,1
64,96,0,7.202473377408707,6607,0
88,98,1,7.279998613696716,9543,0
79,96,4,5.033244199443072,10916,0
87,97,3,5.476413508571158,11143,0
84,97,3,5.4847561754194825,10471,0
62,95,8,5.959028131900713,2907,0
66,98,10,7.3083787777156015,14040,1
86,96,7,6.944277207096521,7924,0
84,95,5,7.062825435735744,10216,0
74,98,0,8.531028713557284,9737,0
76,95,1,7.533336398737445,14757,0
94,97,5,6.287297562505869,5174,0
66,96,10,4.724172235921251,14547,1
83,99,1,5.428179487293694,11573,0
71,97,9,6.107442398482659,10080,1
71,96,4,7.7436947410041705,8265,0
91,98,4,6.45900209884086,10297,0
87,99,5,5.5157060676673355,11741,0
87,98,5,5.400660671409161,2990,0
94,97,5,6.3956326866181605,6596,0
75,94,1,7.83498134332565,4998,0
85,94,9,8.886528958662677,4775,1
70,96,2,6.191347102955499,12004,0
79,95,5,6.432885228856103,10112,0
73,96,7,4.679087440763926,5645,0
76,97,10,9.408788853649199,3061,1
83,98,0,4.398495742765874,5487,0
62,96,0,8.257493467670827,14668,0
106,97,10,5.951996070481294,14261,1
59,97,1,5.6009502592395215,12831,0
56,93,10,4.83499464217111,12357,1
92,95,5,10.1150729741107,5435,0
86,96,8,6.832237434917592,3644,0
84,94,3,6.531920655656095,14044,0
84,98,2,7.830098539331813,2045,0
74,100,7,5.523750911555055,12748,0
61,99,10,6.502768932846509,8951,1
76,96,9,6.584504430218181,7449,1
64,99,8,5.7317814014778,3681,0
89,97,10,8.299457118778871,4199,1
72,96,4,6.172018382756144,7768,0
62,95,8,4.1703019199467555,10130,0
70,96,1,6.047753954718689,8440,0
81,96,2,6.873768007570846,14135,0
66,97,6,5.159760149168587,9633,0
62,97,6,5.278107810244341,3550,0
78,97,5,5.680611442810939,5225,0
78,97,5,8.33185349010044,1596,0
67,99,1,5.769262966031441,7054,0
67,98,9,8.643675527826547,2505,1
78,94,5,5.577574342777496,10053,0
53,91,3,6.987521204384813,11832,1
53,98,2,5.830635988670373,14286,0
64,94,10,7.6311247554357085,7468,1
71,96,1,4.822588768152081,8236,0
79,94,0,7.614289219365848,12923,0
97,93,10,6.670804100464526,2551,1
87,98,10,5.540012274833826,14928,1
72,98,4,6.250667772934774,12428,0
74,95,1,8.800782411548262,14799,0
59,91,1,6.7067667573211756,10928,1
74,95,6,5.445907976131042,7852,0
70,97,7,4.692960075757831,2449,0
79,94,9,7.258106410146496,6953,1
62,97,7,6.793767870516028,9456,0
82,96,3,7.542531042632335,9042,0
97,98,0,4.306662890465237,3659,0
73,97,10,4.74160932066275,8509,1
81,95,6,8.220318798877848,8893,0
85,99,0,6.997012470169011,8445,0
68,96,10,7.300101276856343,3721,1
78,96,3,5.05596945183807,10654,0
75,95,7,5.028519202506622,13444,0
76,96,1,7.986887987288133,10637,0
63,95,5,8.057566482147724,11490,0
75,96,5,4.867520769456419,3925,0
82,100,8,4.580944256220732,10824,0
96,94,4,6.337110543931334,11566,0
89,93,9,5.30097731993599,8104,1
107,99,3,5.269734681430961,14182,0
63,96,4,4.622932630358911,7240,0
88,95,9,5.79734922757945,1512,1
77,99,10,4.767957886050701,1215,1
107,95,4,4.856898645486146,8299,0
62,100,7,6.947587769849457,12523,0
62,98,9,6.417202648568935,11364,1
66,96,7,7.227318022298197,4153,0
43,101,1,4.026449846976041,8450,0
67,95,6,6.514820914744645,2706,0
63,98,7,9.613456313248758,11298,0
77,97,10,5.941591273571602,2567,1
80,99,5,7.7371235098584465,11400,0
103,100,4,7.724010273161635,11523,0
89,97,10,7.797797912001913,11345,1
66,95,8,6.749992530585985,2128,0
61,97,2,7.349128974116321,4510,0
82,95,9,7.548520430019508,13515,1
55,101,3,7.453169042471536,8867,0
102,97,8,4.8238727397299055,12845,0
92,96,5,3.9389232761840196,3365,0
67,97,7,4.169624684877789,6583,0
49,94,6,6.094760011426004,5897,0
95,95,10,7.390890101633967,6718,1
73,99,1,4.843383083732623,7001,0
93,95,2,7.885955687876606,12113,0
51,94,0,5.74658723823817,5567,0
66,98,8,5.760867183208882,10271,0
75,99,6,5.2458395061806,12703,0
75,98,0,3.6728204614755895,14329,0
68,98,2,6.843971192651971,3741,0
84,95,3,9.069001569257853,4020,0
58,94,3,6.406003214701155,7256,0
72,100,4,3.7240525374577214,1228,0
76,96,2,7.670514217424669,9362,0
82,96,2,4.062803014845516,1294,0
85,99,0,4.686448404516222,5284,0
58,98,6,6.142492741529644,9617,0
51,97,10,6.684265157810297,14264,1
94,101,9,4.987003998249757,14390,1
79,95,0,6.084025915151029,7801,0
63,98,1,7.572743601141027,1918,0
98,97,3,7.778268327212028,12445,0
76,97,3,8.377184632721397,1498,0
92,100,4,9.36412797844024,3809,0
76,98,10,7.714833982491675,5961,1
105,98,1,6.174895228393639,10017,0
101,99,3,7.788970686684459,4779,0
71,96,0,7.200074351007773,11050,0
89,95,1,7.259550466289381,3118,0
84,94,0,6.765828177607528,7391,0
95,93,9,5.131918846769141,1145,1
60,101,9,4.957855388267105,14929,1
85,94,3,6.3543226983872865,8942,0
90,96,3,6.723365113769558,14607,0
48,96,6,5.480838615602431,5565,0
57,97,9,7.135012922912863,12769,1
44,98,10,9.621148856058785,1192,1
70,98,10,3.883503921082614,6187,1
85,95,8,7.373366716345641,7637,0
97,96,8,6.401038068663785,13080,0
76,97,4,7.175983333001982,9243,0
99,96,9,5.853927949309563,3410,1
54,100,0,6.280910172429249,2820,0
49,97,0,6.694250676512149,3964,0
74,98,5,6.047549174697109,3521,0
80,98,1,4.2191880239451525,11061,0
74,99,7,6.14912745403332,3568,0
43,97,8,4.375349557705709,6882,0
73,94,3,7.479789665870464,14742,0
55,97,4,3.7016823483828167,2867,0
85,95,10,8.042981569183835,8465,1
80,95,7,7.144344500305219,8602,0
60,98,2,7.150082923600842,11930,0
67,99,4,3.2535351982282403,12461,0
59,97,2,6.007100842862665,4199,0
74,97,9,8.23034514298979,11771,1
89,100,2,5.722088031454558,7103,0
60,97,2,4.882906775054429,14722,0
82,102,6,5.544994857491432,13197,0
67,98,6,6.397583566040993,14127,0
63,93,6,5.222944324530784,1240,0
73,98,9,8.35072584813394,4440,1
59,97,7,6.4029987050144115,5631,0
66,99,4,5.666645978078107,10599,0
57,98,4,4.547984709746631,12694,0
104,96,3,7.2266699079184065,13230,0
75,94,6,7.192499442067045,9274,0
64,96,9,5.311686640722963,6077,1
78,95,3,3.145506457528782,4768,0
73,95,1,7.116143284363826,10142,0
71,98,3,6.219794913108497,8995,0
84,100,7,7.004106751888504,9802,0
86,97,8,9.435761800459456,13861,0
67,94,2,6.459752234436411,7429,0
66,97,6,5.729242074735842,14276,0
70,99,8,4.779017048527489,4605,0
40,95,10,6.0313673127574265,13746,1
52,96,3,6.740866024423462,12475,0
95,97,9,6.57996113089814,3173,1
99,95,2,9.085198010100655,12676,0
71,98,4,7.248628348198914,10714,0
83,96,0,6.297798692739185,7568,0
79,97,2,5.440159131749791,3601,0
121,95,7,6.90000914567498,3657,1
91,96,10,5.139487762426011,7080,1
73,98,7,6.76974661930686,14854,0
60,96,3,7.231120890357265,8325,0
50,100,1,6.175321665842828,3159,0
78,96,7,5.554570333902287,11641,0
63,97,7,3.222054728997641,4830,0
53,98,9,8.215755089630587,9313,1
65,94,3,7.104950585367923,5368,0
58,93,2,7.141425922377174,2317,0
100,93,1,4.15797149633405,5493,0
88,99,8,8.569758049610085,11710,0
74,95,0,5.80217470007288,14272,0
97,102,6,6.066807045950771,2230,0
76,95,4,4.896069716871763,2133,0
62,97,7,3.8195814029902277,8607,0
97,100,3,8.23601946758535,2301,0
83,101,6,8.429896054096437,13226,0
59,101,4,6.251707772970009,2910,0
72,99,4,5.4809231452904745,9082,0
